id,youtube_id,start_time,duration,action_class,dance_style,labels,division,pattern
1,dWQqGDk8ygc,0,4,dance,west_coast_swing,sugar_push,novice,basic_triple_triple
2,-Atg5VKXGRQ,0,4,dance,west_coast_swing,sugar_push,novice,side_pass
3,Tr_JOBxhKE0,0,18,dance,west_coast_swing,sugar_push,novice,basic_triple_triple
4,l60kmGfWERg,9,5,dance,west_coast_swing,sugar_tag,intermediate,basic_triple_triple
5,wdNGSMzTCqE,0,16,dance,west_coast_swing,sugar_tag,intermediate,basic_triple_triple
6,qsNoIccwwfA,27,4,dance,west_coast_swing,sugar_tag,advanced,basic_triple_triple
7,uRe0uTkGEck,13,4,dance,west_coast_swing,sugar_tag,advanced,basic_triple_triple
8,CJx-STOakVQ,3,7,dance,west_coast_swing,sugar_push,intermediate,basic_triple_triple
9,3insE8PHXwM,127,7,dance,west_coast_swing,sugar_push,intermediate,basic_triple_triple
10,IdAp3jIyyxE,114,15,dance,west_coast_swing,sugar_tag,advanced,basic_triple_triple
11,dEuOzv3GZBs,118,5,dance,west_coast_swing,sugar_push,advanced,basic_triple_triple
12,2l42a-G6XcE,33,5,dance,west_coast_swing,sugar_push,advanced,basic_triple_triple
13,SiLDb3xqUdg,14,12,dance,west_coast_swing,sugar_push,intermediate,basic_triple_triple
14,PfdjfitEF_A&list=PLeZ__vwnEDu-LhRZUQ-6EMxGiCuIPvEuz&index=1,16,6,dance,west_coast_swing,sugar_tag,advanced,basic_triple_triple
15,PfdjfitEF_A&list=PLeZ__vwnEDu-LhRZUQ-6EMxGiCuIPvEuz&index=1,105,23,dance,west_coast_swing,sugar_tag,advanced,basic_triple_triple
16,Wx0ynThm7CA,6,13,dance,west_coast_swing,sugar_tag,intermediate,basic_triple_triple
17,OQVjs_es-BQ,6,6,dance,west_coast_swing,sugar_push,intermediate,basic_triple_triple
18,CSYESsXQI7E,0,10,dance,west_coast_swing,sugar_tag,intermediate,basic_triple_triple
19,HT8-Gd2qWlM,16,9,dance,west_coast_swing,sugar_push,intermediate,basic_triple_triple
20,hqGaqDaf9sA,10,8,dance,west_coast_swing,sugar_push,intermediate,basic_triple_triple
